#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=32.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:44 out:46 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:37.40 aq:23.77 tex:4124 mv:551 misc:1429 imb:20 pmb:246 smb:3334 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:37.40 aq:24.09 tex:1801 mv:299 misc:900 imb:15 pmb:101 smb:3484 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
